Name,Team,PS,GP,MinpG,FG%,FT%,3M,3PT%,3PTpG,PpG,ORpG,DRpG,RpG,ApG,SpG,BpG,TOpG,PFpG,Tech,+/-
"harrell, montrez",hou,PF,39,9.7,0.644,0.522,0,0,0,3.6,0.7,1,1.7,0.4,0.3,0.3,0.4,1.2,3,38
"harris, devin",dal,PG,64,20,0.447,0.721,52,0.329,0.8,7.6,0.3,1.9,2.2,1.8,0.9,0.2,1,1.9,0,-93
"harris, gary",den,SG,76,32.1,0.469,0.82,105,0.354,1.4,12.3,0.7,2.2,2.9,1.9,1.3,0.2,1.3,1.9,0,-209
"harris, joe",cle,SG,5,3,0.25,0,1,0.25,0.2,0.6,0,0.6,0.6,0.4,0,0,0.2,0.2,0,-21
"harris, tobias",det,SF,76,33.1,0.469,0.831,80,0.336,1.1,14.7,1.3,5.4,6.7,2.2,0.9,0.5,1.4,2,1,19
"harrison, aaron",cha,SG,21,4.6,0.263,0.417,3,0.3,0.1,0.9,0.2,0.5,0.7,0.1,0.3,0,0.2,0.5,0,-7
"haslem, udonis",mia,PF,37,7,0.377,0.75,1,0.111,0,1.6,0.3,1.8,2,0.4,0.1,0.1,0.1,0.7,0,-15
"hawes, spencer",cha,PF,57,18.1,0.405,0.831,38,0.373,0.7,6,0.9,3.4,4.3,1.9,0.4,0.5,1,1.9,3,44
"hayes, chuck",hou,PF,2,12,0.5,1,0,0,0,2,0,4,4,1,0,0,1.5,3,0,-3
"hayward, gordon",uta,SG,80,36.1,0.433,0.824,143,0.349,1.8,19.7,0.8,4.2,5,3.7,1.2,0.3,2.5,2.3,0,87
"henderson, gerald",por,SG,72,19.9,0.439,0.767,48,0.35,0.7,8.7,0.4,2.5,2.9,1,0.5,0.3,0.9,1.2,2,24
"henson, john",mil,PF,57,16.8,0.564,0.59,0,0,0,7,1.5,2.4,3.9,0.9,0.3,1.9,1.1,2.3,1,-144
"hezonja, mario",orl,SF,79,17.9,0.433,0.907,67,0.349,0.8,6.1,0.4,1.9,2.2,1.4,0.5,0.2,1.2,1.6,0,-2
"hibbert, roy",lal,C,81,23.2,0.443,0.807,0,0,0,5.9,1.6,3.3,4.9,1.2,0.4,1.4,0.9,3.1,2,-685
"hickson, j.j.",was,PF,35,12.5,0.516,0.447,0,0,0,5.9,1.1,2.7,3.8,0.7,0.4,0.4,0.7,1.3,1,-59
"hilario, nene",was,PF,57,19.2,0.544,0.578,0,0,0,9.2,0.9,3.6,4.5,1.7,0.9,0.5,1.3,2.7,2,32
"hill, george",ind,PG,74,34.1,0.441,0.76,128,0.408,1.7,12.1,0.8,3.2,4,3.5,1.1,0.2,1.4,2,2,93
"hill, jordan",ind,C,73,20.7,0.507,0.712,0,0,0,8.8,2.1,4,6.2,1.2,0.5,0.5,1.3,2.1,0,44
"hill, solomon",ind,SF,59,14.7,0.447,0.857,24,0.329,0.4,4.2,0.7,2.2,2.8,1,0.6,0.2,0.6,1.2,1,46
"hilliard, darrun",det,SG,38,10.2,0.394,0.725,19,0.38,0.5,4,0.1,1.1,1.2,0.7,0.2,0,0.5,0.7,0,-4
"hinrich, kirk",atl,SG,46,13.7,0.38,0.938,24,0.387,0.5,3,0.2,1.3,1.5,1.6,0.3,0,0.7,1.4,1,12
"holiday, jrue",nor,PG,65,28.1,0.439,0.843,87,0.336,1.3,16.8,0.4,2.6,3,6,1.4,0.3,2.6,2.3,1,26
"holiday, justin",chi,SG,53,14.5,0.386,0.73,36,0.343,0.7,4.5,0.2,1.5,1.7,1.1,0.6,0.4,0.7,1.2,0,-89
"hollins, ryan",mem,C,37,12.5,0.62,0.619,0,0,0,3.4,1.3,1.4,2.6,0.3,0.2,0.6,0.6,1.7,1,-146
"hollis-jefferson, rondae",bro,SF,29,21.2,0.457,0.712,4,0.286,0.1,5.8,1.3,4,5.3,1.5,1.3,0.6,0.9,2.1,0,-62
"holmes, richaun",phi,PF,51,13.8,0.514,0.689,8,0.182,0.2,5.6,1.2,1.4,2.6,0.6,0.4,0.8,0.6,1.8,0,-52
"hood, rodney",uta,SG,79,32.2,0.42,0.86,161,0.359,2,14.5,0.5,2.9,3.4,2.7,0.9,0.2,1.6,2.6,1,128
"horford, al",atl,PF,82,32.2,0.504,0.798,88,0.342,1.1,15.2,1.8,5.5,7.3,3.2,0.8,1.5,1.3,2,1,228
"howard, dwight",hou,C,71,32.1,0.619,0.489,0,0,0,13.7,3.4,8.4,11.8,1.4,1,1.6,2.3,3.1,12,20
"huertas, marcelo",lal,PG,53,16.3,0.422,0.931,16,0.262,0.3,4.5,0.3,1.4,1.7,3.4,0.5,0.1,1.5,1.4,0,21
"huestis, josh",okl,SF,5,11,0.417,0,4,0.667,0.8,2.8,0.4,1.6,2,0,0.2,0.4,0.6,0.6,0,2
"humphries, kris",atl,PF,53,15.8,0.41,0.798,34,0.315,0.6,6.5,1.1,3,4.1,0.7,0.3,0.5,0.7,1.8,0,-102
"hunter, r.j.",bos,SG,36,8.9,0.367,0.857,19,0.302,0.5,2.7,0.1,1,1,0.4,0.4,0.1,0.3,0.8,0,-28
"ibaka, serge",okl,PF,78,32.1,0.479,0.752,60,0.326,0.8,12.6,1.8,5,6.8,0.8,0.5,1.9,1.4,2.7,6,529
"iguodala, andre",gsw,SG,65,26.7,0.478,0.614,54,0.351,0.8,7,0.8,3.2,4,3.4,1.1,0.3,1.2,1.6,1,453
"ilyasova, ersan",orl,PF,74,25.4,0.424,0.721,96,0.372,1.3,10.4,1.9,3.5,5.4,0.9,0.7,0.4,1,2.3,0,-135
"ingles, joe",uta,SF,81,15.3,0.426,0.722,81,0.386,1,4.2,0.2,1.6,1.9,1.2,0.7,0,0.8,1.2,1,11
"inglis, damien",mil,SF,20,8,0.351,0.875,3,0.231,0.2,1.8,0.1,1.5,1.6,0.5,0.3,0.2,0.6,0.6,0,-44
"irving, kyrie",cle,PG,53,31.4,0.448,0.885,84,0.323,1.6,19.6,0.8,2.1,2.9,4.7,1.1,0.3,2.3,2,0,207
